persona_key,name,role_text,category,ambiguous,alternative_category,notes
fai2_rohin_shah,Rohin Shah,works on AGI safety and alignment at Google DeepMind (Google DeepMind),,,,
fai2_anca_dragan,Anca Dragan,leads AI safety and alignment at Google DeepMind (Google DeepMind),,,,
fai2_been_kim,Been Kim,is an interpretability researcher at Google DeepMind (Google DeepMind),,,,
fai2_nicholas_carlini,Nicholas Carlini,is a researcher at Google DeepMind known for adversarial ML and model security (Google DeepMind),,,,
fai2_geoffrey_hinton,Geoffrey Hinton,is an emeritus professor at the University of Toronto and Turing Award winner known as a godfather of deep learning (University of Toronto),,,,
fai2_yoshua_bengio,Yoshua Bengio,"is a professor at Universite de Montreal, founder of Mila, and Turing Award winner (Mila)",,,,
fai2_yann_lecun,Yann LeCun,is the chief AI scientist at Meta and Turing Award winner (Meta),,,,
fai2_stuart_russell,Stuart Russell,is a professor of computer science at UC Berkeley and author of the standard AI textbook (UC Berkeley),,,,
fai2_percy_liang,Percy Liang,is a professor at Stanford directing the Center for Research on Foundation Models (Stanford),,,,
fai2_jacob_steinhardt,Jacob Steinhardt,is a co-founder of Transluce and a professor at UC Berkeley researching AI alignment (Transluce),,,,
fai2_david_bau,David Bau,is a professor at Northeastern University working on interpretability (Northeastern),,,,
fai2_david_krueger,David Krueger,is a professor researching AI safety and deep learning (University of Cambridge),,,,
fai2_dylan_hadfieldmenell,Dylan Hadfield-Menell,is a professor at MIT researching value alignment (MIT),,,,
fai2_max_tegmark,Max Tegmark,is a professor at MIT and president of the Future of Life Institute (MIT),,,,
fai2_eliezer_yudkowsky,Eliezer Yudkowsky,is the founder of the Machine Intelligence Research Institute and a longtime writer on AI alignment (MIRI),,,,
fai2_nate_soares,Nate Soares,is the president of the Machine Intelligence Research Institute (MIRI),,,,
fai2_paul_christiano,Paul Christiano,"is the founder of the Alignment Research Center, known for RLHF and alignment research (Alignment Research Center)",,,,
fai2_beth_barnes,Beth Barnes,"is the founder of METR, which evaluates frontier models for dangerous capabilities (METR)",,,,
fai2_marius_hobbhahn,Marius Hobbhahn,"is the CEO of Apollo Research, which studies deceptive alignment in frontier models (Apollo Research)",,,,
fai2_geoffrey_irving,Geoffrey Irving,is the chief scientist of the UK AI Security Institute (UK AISI),,,,
fai2_ian_hogarth,Ian Hogarth,chairs the UK AI Security Institute and co-authors the State of AI report (UK AISI),,,,
fai2_owain_evans,Owain Evans,"runs Truthful AI, researching situational awareness and honesty in LLMs (Truthful AI)",,,,
fai2_dan_hendrycks,Dan Hendrycks,is the director of the Center for AI Safety (CAIS),,,,
fai2_buck_shlegeris,Buck Shlegeris,"is the CEO of Redwood Research, working on AI control (Redwood Research)",,,,
fai2_ryan_greenblatt,Ryan Greenblatt,"is the chief scientist of Redwood Research, known for the alignment-faking experiments (Redwood Research)",,,,
fai2_stella_biderman,Stella Biderman,is the executive director of EleutherAI (EleutherAI),,,,
fai2_zvi_mowshowitz,Zvi Mowshowitz,writes the widely-read Don't Worry About the Vase newsletter on AI (independent),,,,
fai2_gary_marcus,Gary Marcus,is an emeritus professor at NYU and a prominent critic of deep learning (independent),,,,
fai2_emily_bender,Emily Bender,"is a professor of linguistics at the University of Washington, co-author of the stochastic-parrots paper (University of Washington)",,,,
fai2_jie_tang,Jie Tang,is the chief scientist of Zhipu AI and a professor at Tsinghua University (Zhipu AI),,,,
fai2_peng_zhang,Peng Zhang,"is the CEO and co-founder of Zhipu AI, which builds the GLM models (Zhipu AI)",,,,
fai2_aohan_zeng,Aohan Zeng,is a lead researcher on the GLM models at Zhipu AI (Zhipu AI),,,,
fai2_junyang_lin,Junyang Lin,leads the Qwen team at Alibaba (Qwen),,,,
fai2_jingren_zhou,Jingren Zhou,"leads the Tongyi Lab at Alibaba, which develops the Qwen models (Qwen)",,,,
fai2_zihan_qiu,Zihan Qiu,is a researcher on the Qwen team at Alibaba (Qwen),,,,
fai2_wenfeng_liang,Wenfeng Liang,is the founder and CEO of DeepSeek (DeepSeek),,,,
fai2_zhilin_yang,Zhilin Yang,"is the founder of Moonshot AI, which builds the Kimi models (Moonshot AI)",,,,
fai2_kaifu_lee,Kai-Fu Lee,is the founder and CEO of 01.AI and author of AI Superpowers (01.AI),,,,
fai2_robin_li,Robin Li,"is the CEO and co-founder of Baidu, which builds the Ernie models (Baidu)",,,,
fai2_marc_andreessen,Marc Andreessen,"is the co-founder of the venture firm Andreessen Horowitz (a16z) and author of the Techno-Optimist Manifesto, a prominent advocate of rapid, unconstrained AI development (Andreessen Horowitz)",,,,
fai2_ben_horowitz,Ben Horowitz,is the co-founder of the venture capital firm Andreessen Horowitz (a16z) (Andreessen Horowitz),,,,
fai2_martin_casado,Martin Casado,is a general partner at Andreessen Horowitz focused on AI and a vocal critic of AI regulation (Andreessen Horowitz),,,,
fai2_garry_tan,Garry Tan,is the president and CEO of Y Combinator and an advocate for 'little tech' (Y Combinator),,,,
fai2_david_sacks,David Sacks,"is a venture capitalist and the US administration's AI and crypto czar, an opponent of AI over-regulation (Craft Ventures)",,,,
fai2_vinod_khosla,Vinod Khosla,is the founder of Khosla Ventures and an early investor in OpenAI (Khosla Ventures),,,,
fai2_balaji_srinivasan,Balaji Srinivasan,"is a tech entrepreneur and investor, former CTO of Coinbase, known for techno-accelerationist views (independent)",,,,
fai2_naval_ravikant,Naval Ravikant,is the co-founder of AngelList and a prominent tech investor and commentator (AngelList),,,,
fai2_jason_calacanis,Jason Calacanis,is an angel investor and host of the All-In and This Week in Startups podcasts (Launch),,,,
fai2_chamath_palihapitiya,Chamath Palihapitiya,is the founder and CEO of Social Capital and a host of the All-In podcast (Social Capital),,,,
