persona_key,name,role_text,llm_category,llm_ambiguous,llm_alternative,human_category,human_ambiguous,human_alternative,agree,final_category,resolution,ambiguous,alternative_category,protocol_sha256
fai2_lilian_weng,Lilian Weng,led safety systems at OpenAI and is now at Thinking Machines Lab (Thinking Machines Lab),scrutiny,True,capabilities,scrutiny,False,,True,scrutiny,,True,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_marc_andreessen,Marc Andreessen,"is the co-founder of the venture firm Andreessen Horowitz (a16z) and author of the Techno-Optimist Manifesto, a prominent advocate of rapid, unconstrained AI development (Andreessen Horowitz)",business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_marius_hobbhahn,Marius Hobbhahn,"is the CEO of Apollo Research, which studies deceptive alignment in frontier models (Apollo Research)",scrutiny,False,business,scrutiny,False,,True,scrutiny,,False,business,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_martin_casado,Martin Casado,is a general partner at Andreessen Horowitz focused on AI and a vocal critic of AI regulation (Andreessen Horowitz),business,True,scrutiny,business,False,,True,business,,True,scrutiny,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_max_tegmark,Max Tegmark,is a professor at MIT and president of the Future of Life Institute (MIT),scrutiny,False,,other,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human other,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_nate_soares,Nate Soares,is the president of the Machine Intelligence Research Institute (MIRI),scrutiny,False,,business,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human business,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_naval_ravikant,Naval Ravikant,is the co-founder of AngelList and a prominent tech investor and commentator (AngelList),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_neel_nanda,Neel Nanda,leads mechanistic interpretability research at Google DeepMind (Google DeepMind),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_nicholas_carlini,Nicholas Carlini,is a researcher at Google DeepMind known for adversarial ML and model security (Google DeepMind),scrutiny,True,capabilities,scrutiny,False,,True,scrutiny,,True,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_owain_evans,Owain Evans,"runs Truthful AI, researching situational awareness and honesty in LLMs (Truthful AI)",scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_paul_christiano,Paul Christiano,"is the founder of the Alignment Research Center, known for RLHF and alignment research (Alignment Research Center)",scrutiny,False,capabilities,business,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human business,False,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_peng_zhang,Peng Zhang,"is the CEO and co-founder of Zhipu AI, which builds the GLM models (Zhipu AI)",business,False,,capabilities,False,,False,business,reviewer chose business over LLM business / human capabilities,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_percy_liang,Percy Liang,is a professor at Stanford directing the Center for Research on Foundation Models (Stanford),capabilities,True,scrutiny,capabilities,False,,True,capabilities,,True,scrutiny,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_richard_ngo,Richard Ngo,"is an AI governance and alignment researcher, formerly at OpenAI and DeepMind (independent)",scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_robin_li,Robin Li,"is the CEO and co-founder of Baidu, which builds the Ernie models (Baidu)",business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_rohin_shah,Rohin Shah,works on AGI safety and alignment at Google DeepMind (Google DeepMind),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ryan_greenblatt,Ryan Greenblatt,"is the chief scientist of Redwood Research, known for the alignment-faking experiments (Redwood Research)",scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_sam_altman,Sam Altman,is the CEO of OpenAI (OpenAI),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_sam_bowman,Sam Bowman,leads an alignment research team at Anthropic (Anthropic),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_shane_legg,Shane Legg,is a co-founder and chief AGI scientist of Google DeepMind (Google DeepMind),capabilities,True,business,capabilities,False,,True,capabilities,,True,business,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_stella_biderman,Stella Biderman,is the executive director of EleutherAI (EleutherAI),capabilities,True,scrutiny,scrutiny,False,,False,capabilities,reviewer chose scrutiny over LLM capabilities / human scrutiny,True,scrutiny,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_stuart_russell,Stuart Russell,is a professor of computer science at UC Berkeley and author of the standard AI textbook (UC Berkeley),scrutiny,False,,other,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human other,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_vinod_khosla,Vinod Khosla,is the founder of Khosla Ventures and an early investor in OpenAI (Khosla Ventures),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_wenfeng_liang,Wenfeng Liang,is the founder and CEO of DeepSeek (DeepSeek),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_yann_lecun,Yann LeCun,is the chief AI scientist at Meta and Turing Award winner (Meta),capabilities,False,,capabilities,False,,True,capabilities,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_yoshua_bengio,Yoshua Bengio,"is a professor at Universite de Montreal, founder of Mila, and Turing Award winner (Mila)",scrutiny,True,capabilities,capabilities,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human capabilities,True,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_zhilin_yang,Zhilin Yang,"is the founder of Moonshot AI, which builds the Kimi models (Moonshot AI)",business,True,capabilities,business,False,,True,business,,True,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_zihan_qiu,Zihan Qiu,is a researcher on the Qwen team at Alibaba (Qwen),capabilities,False,,capabilities,False,,True,capabilities,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_zvi_mowshowitz,Zvi Mowshowitz,writes the widely-read Don't Worry About the Vase newsletter on AI (independent),scrutiny,True,business,other,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human other,True,business,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
